"","locationID","Latitude","Longitude"
"776","28AR",35.8333,91.4333
"777","AR05",35.2158,93.305
"778","4M8",34.6481,91.3944
"779","H35",35.4706,93.4272
"780","CCA",35.5978,92.4517
"781","2A2",35.6508,92.4039
"782","7AR3",35.1511,90.8156
"783","12A",35.1775,92.335
"784","AR06",35.2325,92.3433
"785","CWS",35.0808,92.425
"786","AR88",35.0547,92.3542
"787","4M9",36.4042,90.6481
"788","61AR",36.3083,92.5308
"789","1AR1",34.5272,91.8728
"790","0AR2",35.2667,90.35
"791","CRT",33.1783,91.8803
"792","32A",35.0869,93.4275
"793","DEQ",34.0469,94.3994
"794","5M1",34.2622,91.3075
"795","5M5",36.3436,94.4447
"796","0AR3",35.8989,93.2611
"797","4M5",33.4881,91.4425
"798","1AR3",34.9731,91.5261
"799","1AR2",34.9867,91.5503
"800","AR89",35.4,93.0661
"801","0M0",33.8847,91.5344
"802","65AR",35.2264,90.4653
"803","63AR",35.2514,90.4597
"804","F43",33.1911,92.6633
"805","ELD",33.2211,92.8133
"806","17AR",34.5531,92.0914
"807","7AR1",33.05,91.3417
"808","18AR",36.3442,93.8317
"809","7AR0",36.4314,93.6994
"810","FYV",36.005,94.17
"811","AR35",36.0867,94.1053
"812","67AR",36.0978,94.3075
"813","XNA",36.2819,94.3069
"814","FLP",36.2908,92.5903
"815","6AR9",36.4153,92.6944
"816","45AR",36.3672,92.6403
"817","5M4",33.8458,92.3656
"818","FCY",34.9419,90.775
