GEOID,State,Urban,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeT,POP2010,UATYP10,PNT_COUNT,Shape_Area,areahalfmile,Shape_Area_1,areamile
36119014806,NY,1,2236,0,0,0,6467,U,1,0.000185856,0.6671471095,0.0005190764,1.863493141
36119981000,NY,1,269,1617,0.723814,1,2234,U,1,0.0001621815,0.5843613203,0.000392176,1.4130254994
36103158006,NY,1,2479,29,0.004166,0,6961,U,2,0.0002191899,0.7921198146,0.0005484318,1.9817957587
36103158114,NY,1,1240,6,0.001647,0,3643,U,1,6.0996796091E-005,0.2203636496,0.0002020023,0.729819195
36103158202,NY,1,2812,98,0.012503,0,7838,U,2,0.0002235603,0.8074457603,0.0005274436,1.9049148345
36103158511,NY,1,1948,7,0.001139,0,6145,U,1,0.0001222564,0.4420025216,0.0003016454,1.0906061524
36103158608,NY,1,1244,365,0.089813,0,4064,U,1,7.3490277093E-005,0.2658173727,0.0001534995,0.5552454578
36103158708,NY,1,1618,13,0.003385,0,3840,U,1,0.0001150751,0.4158906656,0.0004351308,1.5726556036
36103158710,NY,1,1214,51,0.013836,0,3686,U,2,0.0002320836,0.838630199,0.0006986778,2.5247754711
36103159102,NY,1,2702,334,0.049096,0,6803,U,2,0.0002890763,1.0464105791,0.0005249145,1.9000459085
36103159408,NY,1,1256,266,0.059098,0,4501,U,4,0.0001636975,0.5922780979,0.0004268014,1.5441469357
36109000600,NY,1,2131,694,0.135098,0,5137,U,3,0.0001800067,0.6347914188,0.0005671497,2.0000485867
36109001100,NY,1,2051,973,0.172304,1,5647,U,1,0.0002269574,0.801092479,0.0004845776,1.7104539744
36109001300,NY,1,2962,0,0,1,6209,U,1,0.0002036859,0.7188169238,0.0006899483,2.4349517301
36111953600,NY,1,2204,365,0.064636,0,5647,U,1,0.0002394178,0.8544069126,0.0008968548,3.2005764986
36113070701,NY,1,1894,22,0.006019,0,3655,U,6,0.0005223253,1.8170048311,0.000889881,3.0955705724
